symbol,mean,stdev,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105
PEL,0.13,2.54,-15.44,-3.53,-2.49,-1.9,-1.45,-1.14,-0.88,-0.64,-0.42,-0.19,-0.01,0.15,0.36,0.61,0.89,1.25,1.66,2.17,2.92,4.28,19.99
PETRONET,0.16,3.57,-49.39,-3.11,-2.28,-1.81,-1.48,-1.16,-0.9,-0.67,-0.43,-0.23,-0.04,0.15,0.38,0.6,0.88,1.18,1.57,2.04,2.67,4.03,100.55
PFC,0.11,4.04,-48.78,-4.23,-3.18,-2.52,-1.91,-1.51,-1.17,-0.87,-0.61,-0.34,-0.06,0.22,0.52,0.85,1.16,1.58,2.01,2.65,3.39,4.62,101.5
PGHH,0.13,1.58,-8.05,-2.09,-1.44,-1.11,-0.87,-0.68,-0.51,-0.35,-0.21,-0.09,0.01,0.11,0.24,0.39,0.57,0.77,1.0,1.31,1.78,2.79,14.93
PIDILITIND,0.25,6.21,-19.69,-2.54,-1.85,-1.41,-1.14,-0.92,-0.69,-0.49,-0.3,-0.15,0.03,0.16,0.3,0.49,0.67,0.91,1.27,1.68,2.25,3.2,307.23
PNB,0.09,2.89,-17.89,-4.2,-2.94,-2.32,-1.8,-1.4,-1.05,-0.74,-0.49,-0.24,0.0,0.2,0.48,0.76,1.06,1.43,1.87,2.44,3.32,4.61,46.2
SBICARD,0.54,2.39,-6.05,-2.8,-1.87,-1.35,-1.13,-0.97,-0.63,-0.38,-0.16,-0.0,0.24,0.4,0.75,0.97,1.33,1.7,2.46,3.17,3.93,4.87,7.26
SIEMENS,0.12,2.43,-16.48,-3.45,-2.42,-1.84,-1.42,-1.13,-0.88,-0.62,-0.38,-0.17,0.0,0.17,0.38,0.62,0.89,1.25,1.61,2.09,2.79,4.01,28.5
TATACONSUM,0.23,2.27,-7.44,-2.95,-2.17,-1.75,-1.31,-1.02,-0.75,-0.63,-0.35,-0.1,0.09,0.29,0.48,0.72,0.95,1.27,1.53,2.07,2.99,4.14,11.28
TORNTPHARM,0.19,2.36,-13.54,-2.84,-2.06,-1.67,-1.34,-1.04,-0.75,-0.51,-0.3,-0.13,0.05,0.24,0.42,0.61,0.83,1.14,1.51,1.94,2.6,3.66,44.15
UBL,0.11,2.7,-11.56,-3.75,-2.58,-1.86,-1.55,-1.23,-0.95,-0.66,-0.44,-0.24,-0.05,0.15,0.35,0.56,0.79,1.08,1.46,1.97,2.79,4.29,20.02
